"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","3100","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00118020",",7","0.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00122731",",7","0.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126151",",7","0.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00128967",",7","1.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00150381","1,7","0.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00150397",",7","0.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00150422",",7","0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00150450",",7","0.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00150483",",7","-0.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00150630",",7","0.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00150860",",7","-0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00150955",",7","-0.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00151080",",7","0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00151227","2,7","0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00151810",",7","-1.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00151890",",7","0.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00151895",",7","-0.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00151998","1,7","-1.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00152040","3,7","-1.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00152442",",7","2.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00152548",",7","0.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00152791",",7","-0.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00152903",",7","-1.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00153230",",7","-1.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00153430",",7","0.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00153762",",7","-0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00153768","2,7","-0.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00153840","2,7","-2.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00153929","1,7","0.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00153994",",7","0.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00154138",",7","-0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00154208",",7","-0.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00154449",",7","0.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00154955","1,7","0.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00154958",",7","-0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00155067","1,7","0.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00155097",",7","2.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00155243",",7","-1.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00155280",",7","-0.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00155444",",7","-0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00155640",",7","-1.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00155648",",7","-0.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00155694",",7","1.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00155834",",7","-0.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00156012","1,7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00156136",",7","-0.4"
